question,answer
Mt. Dew Flavors?,Sangrita Blast|Code Red|Live Wire|Voltage|White Out|Throwback|Baja Blast|Black Label|Dewshine|Game Fuel
New York City Neighborhoods?,Washington Heights|Times Square|Hell's Kitchen|Madison Square|Chelsea|Gramercy Park|Greenwich Village|SoHo|Tribeca|Bowery
Erectile Dysfunction Drugs?,Viagra|Cialis|Levitra|Edex|Staxyn|Muse|Stendra|Caverject
Founding UN Members?,United States|France|China|USSR|Great Britain|Iran|Poland|Australia
Diet Coke Ingredients?,carbonated water|caramel color|aspartame|phosphoric acid|potassium benzoate|natural flavors|citric acid|caffeine
Cheers Characters?,Norm Petersen|Cliff Clavin|Sam Malone|Coach Ernie Pantusso|Woody Boyd|Rebecca Howe|Diane Chambers|Frasier Crane|Carla Tortelli|Robin Colcord
Hostess Snack Cake Products?,Twinkies|Donettes|Ho Hos|Ding Dongs|Sno Balls|Zingers|Honey Buns|Suzie Q's|Jordan Spieth|Bubba Watson|Phil Mickelson|Adam Scott||Tiger Woods|Vijay Singh|Nick Faldo|Fred Couples|Arnold Palmer|Jack Nicklaus|Gary Player|Mark O'Meara|Tom Watson
Phases of the Moon?,New Moon|Waxing Crescent|First Quarter|Waxing Gibbous|Full Moon|Waning Gibbous|Last Quarter|Waning Crescent
Laxative Brands?,Benefiber|Citrucel|Dulcolax|Fibercon|GlycoLax|Metamucil|Purge|Unifiber
Events in a Decathlon?,100m|long jump|shot put|high jump|400m|110m hurdles|discus|pole vault|javelin|1500m
Trivial Pursuit: Genius Edition Categories?,Geography|Entertainment|History|Arts & Literature|Science & Nature|Sports & Leisure
Books Authored By Donald Trump?,Trump: The Art of the Deal|Trump: Surviving at the Top|Trump: The Art of Survival|Trump: The Art of the Comeback|Trump: How to Get Rich|Trump 101: The Way to Success|Time to Get Tough: Make America No. 1 Again!|Crippled America: How to Make America Great Again
Girl Scout Cookies?,Thin Mints|Samoas|Tagalongs|Trefoils|Do-si-dos|Rah-Rah Raisins|Lemonades|Savannah Smiles|Thanks-A-Lot|Toffee-tastic
Boy Scout Ranks?,Tenderfoot|Second Class|First Class|Star|Life|Scout|Eagle
Rodents?,Hamster|Squirrel|Chinchilla|Beaver|Gerbil|Gopher|Porcupine|Mole rat
Character Classes in Dungeons & Dragons?,Assassin|Cleric|Crusader|Knight|Commoner|Cavalier|Aristocrat|Warlock|Wizard|Spellcaster|Mage|Swashbuckler|Monk|Mystic|Druid
Foods You Can Eat on the Paleo Diet?,Eggs|Almonds|Seeds|Lobster|Fresh vegetables|Bacon|Goat|Avocado|Mango|Cashews
Parts of the Brain?,Hippocampus|Amygdala|Cerebellum|Cerebrum|Medulla|Thalamus|Broca's Area
Australian Cities?,Brisbane|Perth|Gold Coast|Adelaide|Canberra|Dubbo|Hobart|Darwin|Toowoomba|Wagga Wagga
British Prime Ministers?,Winston Churchill|Margaret Thatcher|Tony Blair|Gordon Brown|David Cameron|Neville Chamberlain|Andrew Bonar Law
Hosts of The View?,Barbara Walters|Joy Behar|Meredith Viera|Star Jones|Elisabeth Hasselbeck|Rosie O'Donnell|Whoopi Goldberg|Rosie Perez|Jenny McCarthy|Raven-Symone|Candace Cameron Bure
Democrats?,Andrew Jackson|Franklin Roosevelt|Harry S. Truman|John F. Kennedy|Lyndon B. Johnson|Jimmy Carter|Bill Clinton|Barack Obama
Hawaiian Islands?,Oahu|Maui|Hawaii|Kauai|Molokai|Lanai|Niihau|Kahoolawe
Yoga Poses?,Lotus|Downward facing dog|Plow|Tree|Half-cobra|Corpse|Locust|Lord of the dance
Chuck Norris Films?,Silent Rage|Lone Wolf McQuade|Missing in Action|The Delta Force|Hero and the Terror|Sidekicks|The Expendables 2|An Eye For An Eye
Call of Duty Titles?,Finest Hour|Modern Warfare|World at War|Black Ops|Ghosts|Advanced Warfare
Goosebumps Books?,Stay Out of the Basement|Say Cheese and Die!|The Curse of the Mummy's Tomb|Let's Get Invisible!|Night of the Living Dummy|The Girl Who Cried Monster|The Haunted Mask|Be Careful What You Wish For...|Piano Lessons Can Be Murder|The Werewolf of Fever Swamp|You Can't Scare Me!|One Day at Horrorland|Why I'm Afriad of Bees|Go Eat Worms|Ghost Beach|The Scarecrow Walks at Midnight|Attack of the Mutant|Return of the Mummy|Phantom of the Auditorium|My Hairiest Adventure
Seven Wonders of the Ancient World?,Pyramids of Giza|Hanging Gardens of Babylon|Statue of Zeus|Temple of Artemis|Pharos of Alexandria|Colossus of Rhodes|Mausoleum of Halicarnassus
African Deserts?,Sahara Desert|Kalahari Desert|Namib Desert
Egyptian Gods?,Ra|Osiris|Isis|Horus
Star Wars Planets and Moons?,Tatooine|Naboo|Endor|Kamino|Hoth|Dagobah|Coruscant|Alderaan
Animals on the Endangerd Species List In 2016?,Bluefin Tuna|Chimpanzee|Giant Panda|Sea Lion|Blue Whale|Bengal Tiger|Snow Leopard|Asian Elephant|Black Rhino|Mountain Gorilla|African Wild Dog|Bonobo|Leatherback Turtle|Indus River Dolphin|Malayan Tiger|Bornean Orangutan|Black-footed Ferret|Black Spider Monkey
The 7 Habits of Highly Effective People?,"Be proactive|Begin with the end in mind|Put first things first|Think win-win|Seek first to understand, then to be understood|Synergize|Sharpen the saw"
Subatomic Particles?,Electron|Proton|Neutron|Photon|Muon|Higgs Boson|Quark|Neutrino|Meson|Graviton
Sherlock Holmes Stories?,The Red-Headed League|The Five Orange Pips|The Man with the Twisted Lip|The Adventure of the Cardboard Box|The Adventure of the Greek Interpreter|The Hound of the Baskervilles|The Adventure of the Six Napoleons|The Adventure of the Second Stain
Academy Award for Best Original Song?,[No recorded answers]
People Magazine Sexiest Man Alive in the 90's?,Tom Cruise|Patrick Swayze|Nick Nolte|Richard Gere|Brad Pitt|Denzel Washington|George Clooney|Harrison Ford
States of Mexico?,Quintana Roo|Jalisco|Nayarit|Oaxaca|Yucatan|Zacatecas|Nuevo Leon|Chihuahua
Sausages?,Chorizo|Andouille|Knackwurst|Kielbasa|Salami|Saveloy|Mortadella|Bratwurst
Godzilla Opponents?,King Kong|Mothra|Ghidorah|Megalon|Mechagodzilla|Space Godzilla|Destoroyah|Rodan
Conifer Trees?,Douglas-fir|pine|spruce|cypress|juniper|cedar|redwood|hemlock
Star Trek Film Titles?,The Wrath of Khan|The Search for Spock|The Voyage Home|The Final Frontier|First Contact|Insurrection|Nemesis|Into Darkness|The Undiscovered Country|Generations
Island Nations?,Iceland|New Zealand|Madagascar|Japan|Cuba|Indonesia|Sri Lanka|Singapore
Magic 8 Ball Messages?,"Signs point to yes.|Reply hazy, try again.|My sources say no.|Outlook good.|Don't count on it.|Very doubtful.|It is certain.|Cannot predict now.|Ask again later.|Better not tell you now."
Shades of Purple?,fuchsia|eggplant|indigo|lavender|lilac|magenta|maroon|periwinkle|puce|violet
Tom Riddle's Horcruxes?,a diary|a ring|a cup|a locket|a diadem|Harry Potter|a snake
Transformers?,Megatron|Bumblebee|Ratchet|Wheeljack|Smokescreen|Knock Out|Bulkhead|Optimus Prime|Shockwave
Carnivorous Dinosaurs?,Deinonychus|Megalosaurus|Oviraptor|Spinosaurus|Tyrannosaurus Rex|Utahraptor|Allosaurus|Velociraptor
Candy Bars With Nougat?,3 Musketeers|Snickers|Baby Ruth|Mars bars|Reese's Fast Break|Milky Way
Ben & Jerry's Flavors?,"Cake My Day|Americone Dream|Phish Food|Blondie Ambition|Coffee, Coffee BuzzBuzzBuzz!|Half Baked|Chubby Hubby|Chocolate Therapy|A Swirled of Difference"
Prime Numbers?,2|17|31|53|71|89|101|1033
Sriracha Ingredients?,chili|sugar|salt|garlic|distilled vinegar
Legumes?,beans|lentils|peas|peanuts
Cars Made By Kia?,Forte|Optima|Soul|Rio|Sorento|Sedona|K900|Cadenza
Signers of the Declaration of Independence?,Benjamin Franklin|John Adams|Samuel Adams|Benjamin Harrison|Thomas Jefferson|John Hancock
Triple Crown Winners?,Secretariat|Citation|War Admiral|American Pharoah|Omaha
Steak Cuts?,porterhouse|flank|flap|skirt|butterfly|ball tip|hanger|ribeye|eye of round|cowboy
Songs On Sgt. Pepper's Lonely Hearts Club Band?,Sgt. Pepper's Lonely Hearts Club Band|When I'm 64|Missing You|[These answers are incomplete]
Countries That Border China?,Mongolia|Russia|Nepal|North Korea|India|Vietnam|Afghanistan|Kazakhstan
Mortal Kombat Characters?,Johnny Cage|Raiden|Reptile|Scorpion|Sub-Zero|Sheeva|Jax|Jade|Shao Kahn
Countries That Have Green in Their Flag?,Brazil|India|Ireland|Jamaica|Italy|Mexico
Twelve Apostles of Jesus?,"Andrew|Nathanael|James, the Elder|James, the Lesser|John|Judas|Thaddeus|Matthew|Peter|Philip|Simon|Thomas"
Left-Handed NBA Players?,Lamar Odom|Toni Kukoc|James Harden|Chris Bosh|Chris Mullin|Manu Ginobili|David Robinson
Instructions In The ?,"Everybody clap your hands|Right foot let's stomp|1 hop this time|To the left|Take it back now|Criss cross|Slide to the right|Cha Cha real smooth|Turn it out|Clap, clap, clap, clap your hands|Hands on ya knees|Get funky with it|Reverse!|Slide to the left|Hop it out now|Cha Cha again|2 hops|Freeze!|Check it out, y'all|Let's go to work"
Invertebrates?,crabs|tarantulas|sea urchin|starfish|scorpion|dragonflies|jellyfish|octopuses
Human Bones?,Maxilla|Mandible|Clavicle|Humerus|Coccyx|Fibula|Malleus|Metacarpal
Heavyweight Boxing Champs?,Evander Holyfield|Mike Tyson|Lennox Lewis|George Foreman|Muhammad Ali|Joe Frazier|Leon Spinks|Sonny Liston|Jack Dempsey|Rocky Marciano
Family Feud Hosts?,Richard Dawson|Ray Combs|Louie Anderson|Richard Karn|John O'Hurley|Steve Harvey
Wears Pants?,Goofy|Dora the Explorer|Bart Simpson|Mickey Mouse
Wu-Tang Clan Members?,GZA|Ol' Dirty Bastard|Method Man|Ghostface Killah|Raekwon|RZA|Inspectah Deck
Instagram Filters?,1977|Amaro|Brannan|Earlybird|Hefe|Hudson|Inkwell|Kelvin|Lo-fi|Nashville|Mayfair|Rise|Sierra|Toaster|Valencia|Walden|Slumber|X-Pro II|Ludwig
Ernest Films?,Ernest Goes to Camp|Ernest Goes to Jail|Ernest Scared Stupid|Ernest Saves Christmas|Ernest Goes to Africa|Ernest Rides Again|Slam Dunk Ernest|Ernest in the Army|Ernest Goes to School
European Capitals?,Brussels|Copenhagen|Prague|Paris|Berlin|Budapest|Stockholm|Bern|London|Rome|Amsterdam|Madrid
Woodwind Instruments?,Clarinet|Flute|Oboe|Bassoon|Piccolo|Recorder|Saxophone|Melodica
The Babysitters Club Novels?,Claudia and the Phantom Phone Calls|The Truth About Stacey|The Ghost at Dawn's House|Mallory and the Ghost Cat|Kristy and the Vampires|Kristy and the Cat Burglar|Mary Anne's Revenge|Dawn and the Surfer Ghost
Monkeys?,Baboons|Marmosets|Tamarins|Capuchins|Rhesus
Voiced by Frank Oz (the voice of Yoda)?,Miss Piggy|Fozzie Bear|Animal|Bert|Grover|Cookie Monster|Sam the Eagle
Months With 31 Days?,January|March|May|July|August|October|December
Hanna-Barbera Cartoon Characters?,Huckleberry Hound|The Flintstones|Yogi Bear|The Jetsons|Magilla Gorilla|Space Ghost|Josie and the Pussycats|Jonny Quest|Scooby-Doo|Tom and Jerry
American Idol Winners?,Kelly Clarkson|Ruben Studdard|Fantasia Barrino|Carrie Underwood|Taylor Hicks|Jordin Sparks|David Cook|Scotty McCreery|Phillip Phillips|Candice Glover|Nick Fradiani|Kris Allen|Caleb Johnson|Lee DeWyze
Countries That Have A President?,Russia|France|Germany|India|Ireland|Italy|Brazil|Mexico|Poland|South Africa|Turkey|Syria|Pakistan
Sedimentary Rocks?,Coal|Flint|Limestone|Shale|Iron Ore|Sandstone
Houses in Game of Thrones ?,Stark|Targaryen|Lannister|Baratheon|Tyrell|Greyjoy|Forrester
Classified as Bears?,Polar|Grizzly|Black|Sun|Kodiak|Giant Panda|Sloth|Cinnamon
German Car Manufactuers?,Audi|BMW|Mercedes-Benz|Porsche|Volkswagen
American Girl Dolls?,Felicity Merriman|Caroline Abbott|Josefina Montoya|Addy Walker|Kit Kittredge|Melody Ellison|Julie Albright|Ivy Ling
Weird Al Songs?,Smells Like Nirvana|Amish Paradise|Eat It|Another One Rides the Bus|Fat|I Lost On Jeopardy|I Think I'm a Clone Now|Living With A Hernia|Polka Your Eyes Out|Yoda
Professional Sports Teams From New York State?,Bills|Nets|Knicks|Giants|Jets|Sabres|Mets|Rangers|Islanders|Yankees
Romance Language?,French|Italian|Spanish|Portuguese|Romanian
The Daily Show Alumni?,Lewis Black|John Hodgman|Kristen Schaal|Samantha Bee|Stephen Colbert|Steve Carell|Ed Helms|John Oliver|Rob Riggle|Mo Rocca|Wyatt Cenac|Rob Corddry|Jason Jones|Josh Gad|Olivia Munn
Ivy League Schools?,Brown University|Columbia University|Cornell University|Dartmouth College|Harvard University|University of Pennsylvania|Princeton University|Yale University
Characters in Star Wars: A New Hope?,Luke Skywalker|Obi-Wan Kenobi|Princess Leia|Chewbacca|R2-D2|Darth Vader|Han Solo|C-3PO
Types of Cheese?,Marscapone|Asiago|Gruyere|Havarti|Feta|Ricotta|Provelone|Camembert|Manchego|Longhorn
Salads That Contain Hard-Boiled Eggs?,Chef salad|Cobb salad|Crab Louie salad
Played At The Original Woodstock?,"Jimi Hendrix|Crosby, Stills & Nash (and Young)|The Band|The Who|Janis Joplin|Joe Cocker|Jefferson Airplane|Creedence Clearwater Revivial|The Grateful Dead|Joan Baez|Arlo Guthrie|Ravi Shankar|Richie Havens"
Mushrooms?,Button|Chanterelle|Porcini|Portobello|Shitake|Cremini|Morel|Truffle|Enoki|Toadstool|Oyster|Maitake|Beech
Flightless Birds?,Ostrich|Emu|Kiwi|Penguin|Dodo|Cassowary|Rhea
Robert De Niro Films?,Goodfellas|Taxi Driver|Cape Fear|Analyze This|Meet The Fockers|Dirty Grandpa|Midnight Run|Raging Bull|The Deer Hunter|Casino
Drummers?,Keith Moon|Dave Grohl|Ringo Starr|Travis Barker|Lars Ulrich|John Bonham|Phil Collins|Chad Smith|Questlove|Tommy Lee
Cartoon Characters with Mustaches?,Cap'n Crunch|Bob Belcher|Cleveland Brown|Dr. Nick Riviera|Ned Flanders|Mario|Jafar|Yosemite Sam|Lorax|Luigi|Tom Tucker|Monopoly Guy
European Rivers?,Thames|Volga|Seine|Rhine|Danube
James Bond Movies?,Tomorrow Never Dies|Goldeneye|Die Another Day|The Spy Who Loved Me|View to a Kill|Octopussy|The Living Daylights|Skyfall|Live and Let Die|Thunderball
Birthstones?,Diamond|Emerald|Pearl|Ruby|Sapphire|Topaz|Turquoise|Amethyst|Opal|Peridot
Red Wine?,Shiraz|Merlot|Cabernet Sauvignon|Malbec|Pinot Noir|Zinfandel
LaCroix Flavors?,Mango|Pamplemousse|Cran-raspberry|Coconut|Apricot|Passionfruit|Tangerine|Lime|Berry|Peach Pear|Lemon
Caribbean Nations?,Cuba|Jamaica|St. Lucia|Dominican Republic|Grenada|Trinidad and Tobago|Cayman Islands|Barbados|British Virgin Islands|Aruba
Chemical Elements?,Hydrogen|Sodium|Magnesium|Lithium|Sulfur|Krypton|Calcium|Californium|Molybdenum|Promethium
Marsupials?,Kangaroo|Koala|Wombat|Opossum|Wallaby|Tasmanian Devil
Matthew McConaughey Films In Which He Plays A Lawyer?,A Time to Kill|Amistad|The Lincoln Lawyer|Bernie
Left Handed Pitchers?,Randy Johnson|Sandy Koufax|Tom Glavine|Clayton Kershaw|Andy Pettitte|David Price|Madison Bumgarner|Mark Buehrle
Rum Based Cocktails?,Hurricane|Pina Colada|Mojito|Dark and Stormy|Daiquiri|Mai-Tai
Chinese Zodiac Animals?,Rat|Ox|Tiger|Rabbit|Dragon|Snake|Horse|Goat|Monkey|Rooster|Dog|Pig
South American Countries?,Brazil|Uruguay|Bolivia|Chile|Argentina|Colombia|Guyana|Peru|Paraguay|Venezuela
Novels Written By Women?,Harry Potter and the Prisoner of Azkaban|Wuthering Heights|The Bell Jar|Atlas Shrugged|Gone With the Wind|Frankenstein|Uncle Tom's Cabin|To Kill a Mockingbird|The Color Purple|Beloved
States That Border Tennessee?,Kentucky|Arkansas|Virginia|Alabama|Mississippi|Georgia|North Carolina|Missouri
Nations North of the Equator?,Venezuela|Belize|Greece|Egypt|Vietnam|Colombia|Canada|India|Jamaica|Saudi Arabia
Rodgers and Hammerstein Musicals?,Oklahoma!|South Pacific|The Sound of Music|Carousel|The King and I
Simpsons characters voiced by Hank Azaria?,Moe Szyslak|Kirk Van Houten|Clancy Wiggum|Nick Riviera|Comic Book Guy|Apu|Cletus Spuckler|Disco Stu|Duffman|Superintendent Chalmers
U.S. Vice Presidents?,Al Gore|Gerald Ford|George H.W. Bush|Richard Nixon|Harry S. Truman|Calvin Coolidge|Thomas Jefferson|John Adams|Lyndon B. Johnson|Theodore Roosevelt
Greek gods?,Zeus|Ares|Athena|Hades|Hermes|Poseidon|Aphrodite|Hera|Artemis|Apollo
Fruit?,Tomato|Cucumber|Grapes|Coconut|Eggplant|Squash|Pumpkin|Jalapeno Pepper|Avocado|Okra|Olives
Mammals?,Bat|Manatee|Platypus|Armadillo|Hedgehog|Walrus|Narwhal|Aardvark|Mole|Hairless Cat
African Nations?,Angola|Burkina Faso|Djibouti|Egypt|Guinea|South Africa|Madagascar|Somalia|Morocco|Zimbabwe
